tech_clean,tech_clean_sep,AI_ambiguous,Manual_human,tech_stem
ar15,ar 15,1,0,ar 15
ar15 assault rifle,ar 15 assault rifle,0,0,ar 15 assault rifl
ar15 automatic weapon,ar 15 automatic weapon,0,0,ar 15 automat weapon
ar15 rifle,ar 15 rifle,0,0,ar 15 rifl
ar15style rifle,ar 15 style rifle,0,0,ar 15 style rifl
ar15style weapon,ar 15 style weapon,0,0,ar 15 style weapon
ar57 rifle,ar 57 rifle,0,0,ar 57 rifl
arma 3,arma 3,0,0,arma 3
armed patrol boats,armed patrol boats,0,0,arm patrol boat
armed robots,armed robots,0,0,arm robot
armed services vocational aptitude battery test,armed services vocational aptitude battery test,0,0,arm servic vocat aptitud batteri test
armored vehicle,armored vehicle,0,0,armor vehicl
armored vehicles,armored vehicles,0,0,armor vehicl
aromatherapy,aromatherapy,0,0,aromatherapi
artificial breast milk,artificial breast milk,0,0,artifici breast milk
artificial breast milk technology,artificial breast milk technology,0,0,artifici breast milk technolog
artificial insemination,artificial insemination,0,0,artifici insemin
artificial intelligence,artificial intelligence,0,0,artifici intellig
artificial kidney,artificial kidney,0,0,artifici kidney
artificial ocean reef,artificial ocean reef,0,0,artifici ocean reef
artificial protective coatings,artificial protective coatings,0,0,artifici protect coat
artificial sun,artificial sun,0,0,artifici sun
artificial sweeteners,artificial sweeteners,0,0,artifici sweeten
artificial womb,artificial womb,0,0,artifici womb
artillery,artillery,0,0,artilleri
asbestos,asbestos,0,0,asbesto
assault rifle,assault rifle,0,0,assault rifl
assault rifles,assault rifles,0,0,assault rifl
assault weapons,assault weapons,0,0,assault weapon
assisted reproductive technology,assisted reproductive technology,0,0,assist reproduct technolog
athome covid19 tests,at home covid19 tests,0,0,at home covid19 test
ativan diffuser,ativan diffuser,0,0,ativan diffus
atm,atm,1,0,atm
atm cameras,atm cameras,0,0,atm camera
atms,atms,1,0,atm
atomic bomb,atomic bomb,0,0,atom bomb
atomic energy,atomic energy,0,0,atom energi
attack helicopter,attack helicopter,0,0,attack helicopt
attack submarines,attack submarines,0,0,attack submarin
audio cassette,audio cassette,0,0,audio cassett
audio devices,audio devices,0,0,audio devic
audio recording,audio recording,0,0,audio record
audiobooks,audiobooks,0,0,audiobook
augmented reality,augmented reality,0,0,augment realiti
autocorrect,autocorrect,0,0,autocorrect
automated content moderation tools,automated content moderation tools,0,0,autom content moder tool
automated traffic enforcement cameras,automated traffic enforcement cameras,0,0,autom traffic enforc camera
automatic braking system,automatic braking system,0,0,automat brake system
automatic headlights,automatic headlights,0,0,automat headlight
automatic oiler,automatic oiler,0,0,automat oiler
automatic weapons,automatic weapons,0,0,automat weapon
automation,automation,1,0,autom
automobile,automobile,0,0,automobil
automobile air conditioning,automobile air conditioning,0,0,automobil air condit
automobile headlights,automobile headlights,0,0,automobil headlight
automobiles,automobiles,0,0,automobil
autonomous weaponry,autonomous weaponry,0,0,autonom weaponri
autoreply systems,autoreply systems,0,0,autorepli system
azidothymidine,azidothymidine,0,0,azidothymidin
b17 bomber,b17 bomber,0,0,b17 bomber
b2 stealth bomber,b2 stealth bomber,0,0,b2 stealth bomber
baby drop off boxes,baby drop off boxes,0,0,babi drop off box
baby formula,baby formula,0,0,babi formula
background check system,background check system,0,0,background check system
background record check system,background record check system,0,0,background record check system
backless booster seats,backless booster seats,0,0,backless booster seat
bagle worm,bagle worm,1,1,bagl worm
ballistic missiles,ballistic missiles,0,0,ballist missil
balloons,balloons,1,0,balloon
ballot scanning,ballot scanning,0,0,ballot scan
ballotmarking machines,ballot marking machines,0,0,ballot mark machin
ballpoint pens,ballpoint pens,0,0,ballpoint pen
bar code,bar code,0,0,bar code
bar codes,bar codes,0,0,bar code
barcode,barcode,0,0,barcod
barcode scanners,barcode scanners,0,0,barcod scanner
barcodes,barcodes,0,0,barcod
barometer,barometer,0,0,baromet
barq,barq,1,0,barq
batteries,batteries,1,0,batteri
battery,battery,1,0,batteri
battery powered gloves,battery powered gloves,0,0,batteri power glove
battery storage,battery storage,0,0,batteri storag
batterypowered screwdriver,battery powered screwdriver,0,0,batteri power screwdriv
bayraktar tb2 drone,bayraktar tb2 drone,0,0,bayraktar tb2 drone
bayraktar tb2 drones,bayraktar tb2 drones,0,0,bayraktar tb2 drone
bb guns,bb guns,0,0,bb gun
beaglej worm,beaglej worm,0,0,beaglej worm
beagleq worm,beagleq worm,0,0,beagleq worm
bicycle,bicycle,0,0,bicycl
binary explosive,binary explosive,0,0,binari explos
biochips,biochips,0,0,biochip
biodegradable burial pods,biodegradable burial pods,0,0,biodegrad burial pod
biofuels,biofuels,0,0,biofuel
biolabs,biolabs,1,0,biolab
biological weapons,biological weapons,0,0,biolog weapon
biomedical research,biomedical research,0,0,biomed research
biometric id,biometric id,0,0,biometr id
biometric passports,biometric passports,0,0,biometr passport
biometric scanning,biometric scanning,0,0,biometr scan
bionic kidneys,bionic kidneys,0,0,bionic kidney
biotechnology,biotechnology,0,0,biotechnolog
bioweapons,bioweapons,0,0,bioweapon
bipedal robot,bipedal robot,0,0,biped robot
biplane,biplane,0,0,biplan
birth control,birth control,0,0,birth control
birth control pill,birth control pill,0,0,birth control pill
bitcoin,bitcoin,0,0,bitcoin
bivalent booster,bivalent booster,0,0,bival booster
black box,black box,1,1,black box
black hawk helicopter,black hawk helicopter,0,0,black hawk helicopt
black hawk helicopters,black hawk helicopters,0,0,black hawk helicopt
blackberry,blackberry,1,1,blackberri
blackberry smart phones,blackberry smart phones,0,0,blackberri smart phone
blackhawk helicopter,blackhawk helicopter,0,0,blackhawk helicopt
blaster worm,blaster worm,0,0,blaster worm
blendedwing airliner,blended wing airliner,0,0,blend wing airlin
blimp,blimp,0,0,blimp
blogging,blogging,0,0,blog
blood test,blood test,0,0,blood test
blood transfusion,blood transfusion,0,0,blood transfus
blowtorch,blowtorch,0,0,blowtorch
blu rays,blu rays,0,0,blu ray
blue beam project,blue beam project,1,0,blue beam project
blue screen of death,blue screen of death,0,0,blue screen of death
blue streetlights,blue streetlights,0,0,blue streetlight
bluetooth,bluetooth,0,0,bluetooth
bluetooth earbuds,bluetooth earbuds,0,0,bluetooth earbud
boats,boats,1,0,boat
body armor,body armor,0,0,bodi armor
body cameras,body cameras,0,0,bodi camera
body scanner,body scanner,0,0,bodi scanner
body scanners,body scanners,0,0,bodi scanner
boeing 747,boeing 747,0,0,boe 747
boeing 757,boeing 757,0,0,boe 757
boeing b17e bomber,boeing b17e bomber,0,0,boe b17e bomber
boeing starliner,boeing starliner,0,0,boe starlin
bomb robot,bomb robot,0,0,bomb robot
bomber,bomber,1,1,bomber
border barrier,border barrier,0,0,border barrier
border fence,border fence,0,0,border fenc
border fencing,border fencing,0,0,border fenc
bots,bots,1,1,bot
botts' dots,botts' dots,0,0,botts' dot
bowlbot 5000,bowlbot 5000,0,0,bowlbot 5000
braille smartwatch,braille smartwatch,0,0,braill smartwatch
breast cancer vaccine,breast cancer vaccine,0,0,breast cancer vaccin
breast pump,breast pump,0,0,breast pump
breastfeeding device,breastfeeding device,0,0,breastfeed devic
breath test,breath test,0,0,breath test
breathalyzer,breathalyzer,0,0,breathalyz
bridgetunnel system,bridge tunnel system,0,0,bridg tunnel system
british sign language,british sign language,0,0,british sign languag
broadband,broadband,0,0,broadband
broadband internet,broadband internet,0,0,broadband internet
broadcast delay,broadcast delay,0,0,broadcast delay
browser extension,browser extension,0,0,browser extens
bug bombs,bug bombs,0,0,bug bomb
bugbear virus,bugbear virus,0,0,bugbear viru
bulk metadata collection,bulk metadata collection,0,0,bulk metadata collect
bulletproof backpacks,bulletproof backpacks,0,0,bulletproof backpack
bulletproof glass,bulletproof glass,0,0,bulletproof glass
bulletproof vest,bulletproof vest,0,0,bulletproof vest
bump fire stocks,bump fire stocks,0,0,bump fire stock
bump keys,bump keys,1,0,bump key
bump stock,bump stock,0,0,bump stock
bump stocks,bump stocks,0,0,bump stock
bunkerbusting bombs,bunker busting bombs,0,0,bunker bust bomb
buprenorphine,buprenorphine,0,0,buprenorphin
buses,buses,0,0,buse
c17,c 17,1,0,c 17
ca125 blood test,ca 125 blood test,0,0,ca 125 blood test
caesarean section,caesarean section,0,0,caesarean section
cake atm,cake atm,1,0,cake atm
calculator,calculator,0,0,calcul
calendar apps,calendar apps,0,0,calendar app
call forwarding,call forwarding,0,0,call forward
camcorders,camcorders,0,0,camcord
camera,camera,1,0,camera
camera app,camera app,0,0,camera app
camera cell phones,camera cell phones,0,0,camera cell phone
camera phone,camera phone,0,0,camera phone
camera tricks,camera tricks,0,0,camera trick
cameras,cameras,1,0,camera
campaign software,campaign software,0,0,campaign softwar
cancer diagnostic tool,cancer diagnostic tool,0,0,cancer diagnost tool
cancer vaccine,cancer vaccine,0,0,cancer vaccin
cancerdetecting blood test,cancer detecting blood test,0,0,cancer detect blood test
candy crush,candy crush,0,0,candi crush
canine coronavirus vaccine,canine coronavirus vaccine,0,0,canin coronaviru vaccin
canning process,canning process,0,0,canning process
cannon,cannon,1,0,cannon
capandtrade,cap and trade,0,0,cap and trade
car alarms,car alarms,0,0,car alarm
car battery,car battery,0,0,car batteri
car engine,car engine,0,0,car engin
car radios,car radios,0,0,car radio
car seat,car seat,0,0,car seat
carbon monoxide,carbon monoxide,0,0,carbon monoxid
carbon pricing,carbon pricing,0,0,carbon price
carbon14 dating,carbon 14 dating,0,0,carbon 14 date
carburetor,carburetor,0,0,carburetor
carnauba wax,carnauba wax,0,0,carnauba wax
cartilage replacement,cartilage replacement,0,0,cartilag replac
cassette player,cassette player,0,0,cassett player
cassette recorder,cassette recorder,0,0,cassett record
cat scan,cat scan,0,1,cat scan
catalytic converter,catalytic converter,0,0,catalyt convert
catapults,catapults,1,0,catapult
cband,c band,1,1,c band
cbd,cbd,1,1,cbd
cbdc microchip,cbdc microchip,0,0,cbdc microchip
cbdcs,cbdcs,1,0,cbdc
cbp one app,cbp one app,0,0,cbp one app
cctv,cctv,0,0,cctv
cctv cameras,cctv cameras,0,0,cctv camera
cds,cds,1,0,cd
ceiling fan,ceiling fan,0,0,ceil fan
ceiling fans,ceiling fans,0,0,ceil fan
cell phone,cell phone,0,0,cell phone
cell phone alert,cell phone alert,0,0,cell phone alert
cell phone location feature,cell phone location feature,0,0,cell phone locat featur
cell phone service,cell phone service,0,0,cell phone servic
cell phone virus,cell phone virus,0,0,cell phone viru
cell phones,cell phones,0,0,cell phone
cell service,cell service,0,1,cell servic
cellphone,cellphone,0,0,cellphon
cellphone cameras,cellphone cameras,0,0,cellphon camera
cellphone data,cellphone data,0,0,cellphon data
cellphones,cellphones,0,0,cellphon
cellular calls,cellular calls,0,0,cellular call
cellular phone,cellular phone,0,0,cellular phone
cellular phones,cellular phones,0,0,cellular phone
central bank digital currency,central bank digital currency,0,0,central bank digit currenc
central banking digital currency system,central banking digital currency system,0,0,central bank digit currenc system
centrifugal force,centrifugal force,0,0,centrifug forc
centrifuges,centrifuges,0,0,centrifug
cfl,cfl,1,0,cfl
cfl bulb,cfl bulb,0,0,cfl bulb
cfl bulbs,cfl bulbs,0,0,cfl bulb
cfl light bulb,cfl light bulb,0,0,cfl light bulb
cfl light bulbs,cfl light bulbs,0,0,cfl light bulb
cgi,cgi,1,0,cgi
chain saws,chain saws,0,0,chain saw
chairlift,chairlift,0,0,chairlift
charcoal activated tablets,charcoal activated tablets,0,0,charcoal activ tablet
chat rooms,chat rooms,0,0,chat room
chatbot,chatbot,0,0,chatbot
chatbots,chatbots,0,0,chatbot
chatgpt,chatgpt,0,0,chatgpt
chatgpt pro,chatgpt pro,0,0,chatgpt pro
chemical castration drugs,chemical castration drugs,0,0,chemic castrat drug
chemical explosives,chemical explosives,0,0,chemic explos
chemical weapons,chemical weapons,0,0,chemic weapon
chemotherapy,chemotherapy,0,0,chemotherapi
chicken launcher,chicken launcher,0,1,chicken launcher
chlorine dioxide,chlorine dioxide,0,0,chlorin dioxid
chlorine treatment,chlorine treatment,0,0,chlorin treatment
chloroquine,chloroquine,0,0,chloroquin
chlorpyrifos,chlorpyrifos,0,0,chlorpyrifo
choppers,choppers,1,1,chopper
chrome browser extension,chrome browser extension,0,0,chrome browser extens
cicret bracelet,cicret bracelet,0,0,cicret bracelet
civil forfeiture device,civil forfeiture device,0,0,civil forfeitur devic
clean coal,clean coal,0,0,clean coal
clean energy,clean energy,0,0,clean energi
clia certification,clia certification,0,0,clia certif
climate models,climate models,0,0,climat model
clock,clock,1,1,clock
cloning,cloning,1,0,clone
cloning visual effect,cloning visual effect,0,0,clone visual effect
closed captioning,closed captioning,0,0,close caption
cloth face mask,cloth face mask,0,0,cloth face mask
cloth masks,cloth masks,0,0,cloth mask
clothes dryer,clothes dryer,0,0,cloth dryer
cloud computing,cloud computing,0,0,cloud comput
cloud seeding,cloud seeding,0,0,cloud seed
cloud storage,cloud storage,0,0,cloud storag
co2 conversion,co2 conversion,0,0,co2 convers
coal,coal,1,0,coal
coal energy,coal energy,0,0,coal energi
coal mining,coal mining,0,0,coal mine
coal plants,coal plants,0,0,coal plant
coalfired energy,coal fired energy,0,0,coal fire energi
coalfired plants,coal fired plants,0,0,coal fire plant
coalfired power plant,coal fired power plant,0,0,coal fire power plant
coalfired power plants,coal fired power plants,0,0,coal fire power plant
coalpowered energy,coal powered energy,0,0,coal power energi
coalpowered plants,coal powered plants,0,0,coal power plant
code grabbers,code grabbers,1,0,code grabber
coffee machine,coffee machine,0,0,coffe machin
coffee makers,coffee makers,0,0,coffe maker
colloidal silver,colloidal silver,0,0,colloid silver
color laser printers,color laser printers,0,0,color laser printer
colorchanging car,color changing car,0,0,color chang car
combine,combine,1,1,combin
commercial nuclear power,commercial nuclear power,0,0,commerci nuclear power
commercial nuclear reactor,commercial nuclear reactor,0,0,commerci nuclear reactor
common core,common core,1,0,common core
communication technologies,communication technologies,0,0,commun technolog
communications satellite,communications satellite,0,0,commun satellit
compact disc,compact disc,0,0,compact disc
compact fluorescent lamp,compact fluorescent lamp,0,0,compact fluoresc lamp
compact fluorescent light bulbs,compact fluorescent light bulbs,0,0,compact fluoresc light bulb
compass,compass,1,1,compass
composite imaging,composite imaging,0,0,composit imag
composite photography,composite photography,0,0,composit photographi
composting,composting,0,0,compost
compressed air,compressed air,0,0,compress air
computer,computer,1,0,comput
computer algorithm,computer algorithm,0,0,comput algorithm
computer animated graphics,computer animated graphics,0,0,comput anim graphic
computer animation,computer animation,0,0,comput anim
computer card game,computer card game,0,0,comput card game
computer files,computer files,0,0,comput file
computer generated images,computer generated images,0,0,comput gener imag
computer graphics,computer graphics,0,0,comput graphic
computer hard drives,computer hard drives,0,0,comput hard drive
computer models,computer models,0,0,comput model
computer mouse,computer mouse,0,0,comput mous
computer program,computer program,0,0,comput program
computer science,computer science,0,0,comput scienc
computer sciences,computer sciences,0,0,comput scienc
computer screen cleaning program,computer screen cleaning program,0,0,comput screen clean program
computer server,computer server,0,0,comput server
computer simulation,computer simulation,0,0,comput simul
computer software,computer software,0,0,comput softwar
computer storage,computer storage,0,0,comput storag
computer system,computer system,0,0,comput system
computer systems,computer systems,0,0,comput system
computer translation,computer translation,0,0,comput translat
computer virus,computer virus,0,0,comput viru
computer viruses,computer viruses,0,0,comput virus
computer visualization,computer visualization,0,0,comput visual
computer worm,computer worm,0,0,comput worm
computergenerated faces,computer generated faces,0,0,comput gener face
computergenerated imagery,computer generated imagery,0,0,comput gener imageri
computergenerated special effects,computer generated special effects,0,0,comput gener special effect
computergenerated visualization,computer generated visualization,0,0,comput gener visual
computers,computers,0,0,comput
computing,computing,1,0,comput
concrete,concrete,1,0,concret
concussion grenade,concussion grenade,0,0,concuss grenad
conficker computer virus,conficker computer virus,0,0,confick comput viru
connectivity,connectivity,1,0,connect
construction equipment,construction equipment,0,0,construct equip
consumer technology,consumer technology,0,0,consum technolog
contact lens,contact lens,0,0,contact len
contact lenses,contact lenses,0,0,contact lens
contact tracing,contact tracing,0,0,contact trace
content filtering,content filtering,0,0,content filter
contraception,contraception,0,0,contracept
convalescent plasma therapy,convalescent plasma therapy,0,0,convalesc plasma therapi
conventional generators,conventional generators,0,0,convent gener
conventional light bulbs,conventional light bulbs,0,0,convent light bulb
cookin bags,cook in bags,0,0,cook in bag
cordless phones,cordless phones,0,0,cordless phone
coronavirus test,coronavirus test,0,0,coronaviru test
coronavirus testing,coronavirus testing,0,0,coronaviru test
coronavirus tests,coronavirus tests,0,0,coronaviru test
coronavirus vaccine,coronavirus vaccine,0,0,coronaviru vaccin
coronavirus vaccines,coronavirus vaccines,0,0,coronaviru vaccin
cosmo heater,cosmo heater,0,0,cosmo heater
covid drug,covid drug,0,0,covid drug
covid injection,covid injection,0,0,covid inject
covid testing,covid testing,0,0,covid test
covid tracker,covid tracker,0,0,covid tracker
covid vaccinations,covid vaccinations,0,0,covid vaccin
covid vaccine,covid vaccine,0,0,covid vaccin
covid vaccines,covid vaccines,0,0,covid vaccin
covid19 antibody tests,covid 19 antibody tests,0,0,covid 19 antibodi test
covid19 booster shot,covid 19 booster shot,0,0,covid 19 booster shot
covid19 booster vaccines,covid 19 booster vaccines,0,0,covid 19 booster vaccin
covid19 injection,covid 19 injection,0,0,covid 19 inject
covid19 mrna vaccine,covid 19 mrna vaccine,0,0,covid 19 mrna vaccin
covid19 nasal swab test,covid 19 nasal swab test,0,0,covid 19 nasal swab test
covid19 pcr tests,covid 19 pcr tests,0,0,covid 19 pcr test
covid19 personal protection equipment decontamination,covid 19 personal protection equipment decontamination,0,0,covid 19 person protect equip decontamin
covid19 protective masks,covid 19 protective masks,0,0,covid 19 protect mask
covid19 test,covid 19 test,0,0,covid 19 test
covid19 test swabs,covid 19 test swabs,0,0,covid 19 test swab
covid19 testing,covid 19 testing,0,0,covid 19 test
covid19 testing kits,covid 19 testing kits,0,0,covid 19 test kit
covid19 testing swabs,covid 19 testing swabs,0,0,covid 19 test swab
covid19 tests,covid 19 tests,0,0,covid 19 test
covid19 tracing apps,covid 19 tracing apps,0,0,covid 19 trace app
covid19 tracking apps,covid 19 tracking apps,0,0,covid 19 track app
covid19 vaccination,covid 19 vaccination,0,0,covid 19 vaccin
covid19 vaccinations,covid 19 vaccinations,0,0,covid 19 vaccin
covid19 vaccine,covid 19 vaccine,0,0,covid 19 vaccin
covid19 vaccine booster,covid 19 vaccine booster,0,0,covid 19 vaccin booster
covid19 vaccines,covid 19 vaccines,0,0,covid 19 vaccin
credit card skimmers,credit card skimmers,0,0,credit card skimmer
credit cards,credit cards,0,0,credit card
credit default swap,credit default swap,0,0,credit default swap
credit default swaps,credit default swaps,0,0,credit default swap
critical infrastructure,critical infrastructure,0,0,critic infrastructur
crocs,crocs,1,1,croc
crop duster,crop duster,0,0,crop duster
cruise control,cruise control,0,0,cruis control
cruise missiles,cruise missiles,0,0,cruis missil
cryogenics,cryogenics,0,0,cryogen
cryonic storage,cryonic storage,0,0,cryonic storag
crypto mining,crypto mining,0,0,crypto mine
cryptocurrency,cryptocurrency,0,0,cryptocurr
cryptocurrency trading platform,cryptocurrency trading platform,0,0,cryptocurr trade platform
cryptolocker malware,cryptolocker malware,0,0,cryptolock malwar
csection,csection,1,0,csection
ct scan,ct scan,0,0,ct scan
ct scan machines,ct scan machines,0,0,ct scan machin
curbside recycling,curbside recycling,0,0,curbsid recycl
cv19n95 mask,cv19 n95 mask,0,0,cv19 n95 mask
cyber attack,cyber attack,0,0,cyber attack
cyber trucks,cyber trucks,0,1,cyber truck
cyberattack,cyberattack,0,0,cyberattack
cyberattacks,cyberattacks,0,0,cyberattack
cybersecurity,cybersecurity,0,0,cybersecur
cybertruck,cybertruck,0,0,cybertruck
cybertrucks,cybertrucks,0,0,cybertruck
daguerreotype,daguerreotype,0,0,daguerreotyp
dancing molecules,dancing molecules,1,0,danc molecul
dark web,dark web,0,0,dark web
dash cam,dash cam,0,0,dash cam
dash cams,dash cams,0,0,dash cam
dashboard cameras,dashboard cameras,0,0,dashboard camera
dashcam,dashcam,0,0,dashcam
data chips,data chips,1,0,data chip
data hub,data hub,0,0,data hub
data system,data system,1,0,data system
data transmission technology,data transmission technology,0,0,data transmiss technolog
database,database,0,0,databas
datagathering tools,data gathering tools,0,0,data gather tool
dating app,dating app,0,0,date app
dating apps,dating apps,0,0,date app
daytime running lights,daytime running lights,0,0,daytim run light
debit card readers,debit card readers,0,0,debit card reader
deep fake,deep fake,0,0,deep fake
deepfake,deepfake,0,0,deepfak
deepfake audio,deepfake audio,0,0,deepfak audio
deepfake technology,deepfake technology,0,0,deepfak technolog
deepfakes,deepfakes,0,0,deepfak
deepwater drilling,deepwater drilling,0,0,deepwat drill
defense system,defense system,0,0,defens system
defibrillator,defibrillator,0,0,defibril
defibrillators,defibrillators,0,0,defibril
delivery drones,delivery drones,0,0,deliveri drone
dental fillings,dental fillings,0,0,dental fill
derivatives,derivatives,1,1,deriv
destructores,destructores,1,0,destructor
devices,devices,1,0,devic
diagnostic test instruments,diagnostic test instruments,0,0,diagnost test instrument
dialysis,dialysis,0,0,dialysi
diamond batteries,diamond batteries,0,0,diamond batteri
diesel generator,diesel generator,0,0,diesel gener
diesel generators,diesel generators,0,0,diesel gener
digital archive,digital archive,0,0,digit archiv
digital artwork,digital artwork,0,0,digit artwork
digital assistant,digital assistant,0,0,digit assist
digital camera,digital camera,0,0,digit camera
digital certificates,digital certificates,0,0,digit certif
digital creation,digital creation,1,0,digit creation
digital creations,digital creations,1,0,digit creation
digital dollar,digital dollar,0,0,digit dollar
digital editing,digital editing,0,0,digit edit
